"","Author","Isbn","Ean","Title","Pub.Date","Medium","Ans.Code","Available","Consignment.On.Hand","Reserved.Stock","Sets.Made.Up","Fcst"
"1","JOYCE.JAMES","0312080735","9780312080730","DEAD.CSCC",1993-12-15,"PT","OS",83,0,0,17,557.894472800421
"2","GILMAN.CHARLOTTE.PERKINS","0312132921","9780312132927","YELLOW.WALLPAPER",1998-01-15,"PT","AS",66,0,0,0,54.7941248481831
"3","CALLOWAY.COLIN.G.ED.","0312133545","9780312133542","OUR.HEARTS.FELL.TO.THE.GROUND",1996-04-15,"PT","AS",559,0,0,46,185.276043675279
"4","SHAKESPEARE.WILLIAM","0312166214","9780312166212","MIDSUMMER.NIGHTS.DREAM.P",1999-01-15,"PT","AS",197,0,0,0,120.639473563792
"5","SHAKESPEARE.WILLIAM","0312256248","9780312256241","MERCHANT.OF.VENICE.P",2002-03-04,"PT","AS",567,0,0,3,158.903175525385
"6","SCHWARTZ.STUART.B.","0312393555","9780312393557","VICTORS.AND.VANQUISHED.REPRINT",2000-11-15,"PT","AS",45,31,0,1,374.480041365459
"7","DUBOIS.LAURENT","031241501X","9780312415013","SLAVE.REVOLUTION.IN.CARIBBEAN",2006-02-22,"PT","AS",1175,0,0,40,1025.17535318563
"8","SCHECHTER.RONALD","0312442432","9780312442439","NATHAN.THE.WISE.REPRINT",2004-11-01,"PT","AS",500,0,0,27,340.365260681354
"9","HAWTHORNE.NATHANIEL","0312446497","9780312446499","AMERICAN.LIT.SCARLET.LETTER",2006-07-31,"PT","AS",336,0,0,15,145.164987420805
"10","CONRAD.JOSEPH","0312457537","9780312457532","HEART.OF.DARKNESS.3E.CSCC",2010-12-27,"PT","AS",24,40,0,0,888.214979528618
"11","MURFIN.ROSS.C.","0312461887","9780312461881","BEDFORD.GLOSSARY.CRIT..LIT.3E",2008-11-18,"PT","AS",843,54,0,56,1525.62148360323
"12","KEITH.WILLIAM.M.","0312472390","9780312472399","ESSENTIAL.GDE.TO.RHETORIC",2008-02-22,"PT","AS",187,0,0,120,728.503201432817
"13","O.GRADY.WILLIAM","0312555288","9780312555283","CONTEMPORARY.LINGUISTICS.6E",2009-08-13,"PT","AS",1786,0,0,36,1196.29201029532
"14","RYAN.LEIGH","0312566735","9780312566739","BDF.GDE.WRITING.TUTORS.5E",2009-12-24,"PT","AS",794,0,0,3,1086.31492112191
"15","HOUSTON.BRANT","0312589972","9780312589974","INVESTIGATIVE.REPORT.HBK.5E.REPRINT",2008-12-03,"PT","AS",908,0,0,0,488.103724482802
"16","ROWSON.SUSANNA","0312596804","9780312596804","AMERICAN.LIT.CHARLOTTE.TEMPLE",2010-09-23,"PT","AS",252,0,0,29,162.209139375689
"17","GRAY.WHITE.DEBORAH","0312648847","9780312648848","FREEDOM.ON.MY.MIND.V2",2012-12-14,"PT","AS",338,0,0,14,453.198048141014
"18","MCMILLAN.VICTORIA.E.","0312649711","9780312649715","WRITING.PAPERS.BIO.SCIENCES.5E",2011-12-07,"SP","AS",1271,0,0,76,2205.59096044574
"19","ROARK.JAMES.L.","0312666764","9780312666767","AMERICAN.PROMISE.CONCISE.5E.CMB",2013-08-15,"PT","AS",276,0,0,33,467.744859320956
"20","SELLERS.HEATHER","0312676026","9780312676025","PRACTICE.CREATIVE.WRITING.2E",2012-08-10,"PT","AS",1099,7,0,2,1701.23187097898
"21","REVLIN.RUSSELL","0716756676","9780716756675","COGNITION.THEORY.PRACTICE",2012-02-24,"CT","AS",38,31,0,19,311.410965180216
"22","MYERS.DAVID.G.","1319001254","9781319001254","CP.BAKERSFIELD.PSYCH.EVERDAY.LIFE3E",2014-07-14,"CU","AS",120,0,0,191,257.506159332883
"23","BERGER.KATHLEEN.STASSEN","1319003605","9781319003609","CP.GROSSMONT.DEV.PERS.C.A.DSM5.9E",2014-07-07,"CU","AS",8,0,0,0,198.022429720551
"24","HENRETTA.JAMES.A.","1319004601","9781319004606","CP.AMER.HIST.8E.V1.PALOMAR",2014-08-08,"CU","AS",135,0,0,0,0
"25","MORRIS.JAMES.R.","1319005349","9781319005344","CP.UBC.BIOLOGY.HLW",2014-08-04,"CU","AS",548,0,0,0,0
"26","SCHACTER.DANIEL.L.","1319006302","9781319006303","CP.SIMON.FRASER.PSY.3E.VOL.1",2014-08-04,"CU","AS",280,0,0,0,0
"27","SCHACTER.DANIEL.L.","1319006329","9781319006327","CP.SIMON.FRASER.PSY.3E.VOL.2",2014-08-04,"CU","AS",298,0,0,8,0
"28","HILLIS.DAVID.M.","1319006787","9781319006785","CP.COLUMBIA.BASIN.POL.2E",2014-08-20,"CU","AS",137,0,0,0,0
"29","BALDI.BRIGITTE","1319008011","9781319008017","CP.BELLEVUE.PRACTICE.OF.STATS.3E",2014-08-20,"CU","AS",395,0,0,3,0
"30","SCHACTER.DANIEL.L.","1319021204","9781319021207","CP.USASK.LL.PSYCHOLOGY.3E.121.V1",2014-11-15,"CU","AS",8,0,0,24,0
"31","MCKAY.JOHN.P.","1319021395","9781319021399","EXAMVIEW.TB.HS.HIS.WESTERN.SOC.11E",2015-08-31,"TB","AS",866,0,0,0,0
"32","MYERS.DAVID.G.","1319024165","9781319024161","CP.MO.WESTERN.PSYCH.EDAY.LIFE.3E",2014-12-17,"CU","AS",348,0,0,0,0
"33","KIRSZNER.LAURIE.G.","1319041086","9781319041083","CP.PATTERNS.13E.HUDSON.VALLEY.CC",2015-07-29,"CU","AS",394,0,0,15,0
"34","HOCKENBURY.SANDRA.E.","1319041957","9781319041953","CP.PSYCHOLOGY.7E.IDAHO.STATE",2015-07-31,"CU","AS",387,0,0,0,0
"35","FREEDMAN.ROGER.A.","1319042406","9781319042400","UNIVERSE.STARS.GALAX.5E.REPRINT",2015-07-29,"PT","OS",0,0,0,0,0
"36","FREEDMAN.ROGER.A.","1319042430","9781319042431","LL.UNIVERSE.10E.REPRINT",2015-07-29,"LL","AS",9,0,0,60,0
"37","FREEDMAN.ROGER.A.","1319042465","9781319042462","UNIVERSE.SOLAR.SYSTEM.5E.REPRINT",2015-07-29,"PT","AS",36,0,0,0,0
"38","MOORE.DAVID.S.","1319044239","9781319044237","CP.LL.BASIC.PRAC.STAT.7E.ETSU",2015-08-07,"CU","AS",1660,0,0,22,0
"39","ROGAWSKI.JON","1319053416","9781319053413","CP.LL.CALC.ET.SV.3E.CENTRAL.WASH",2015-08-01,"CU","OS",0,0,0,0,0
"40","MORRIS.JAMES.R.","1319056911","9781319056919","HOW.LIFE.WORKS.REPRINT",2015-07-24,"CT","AS",157,0,0,90,0
"41","MORRIS.JAMES.R.","131905692X","9781319056926","HOW.LIFE.WORKS.V1.REPRINT",2015-07-24,"PT","AS",836,0,0,236,0
"42","MORRIS.JAMES.R.","1319056938","9781319056933","LL.HOW.LIFE.WORKS.REPRINT",2015-07-24,"LL","AS",1388,0,0,897,0
"43","TIPLER.PAUL.A.","1429201320","9781429201322","PHYSICS.6E.V1.CH.1.20.",2007-01-05,"PT","AS",127,203,0,79,438.805443582489
"44","HANDELSMAN.JO","1429201886","9781429201889","SCIENTIFIC.TEACHING",2006-12-15,"CT","AS",590,32,0,10,419.854516892698
"45","MARSDEN.JERROLD.E.","1429215089","9781429215084","VECTOR.CALCULUS.6E",2011-12-16,"CT","OS",24,100,0,0,353.984404736027
"46","OSTEBEE.ARNOLD","1429229721","9781429229722","CP.SV.CALCULUS.V1.GRAPHICAL.NUM.SYM",2008-07-01,"CU","AS",152,0,0,0,34.3690588465668
"47","GUINN.DENISE","1429231246","9781429231244","ESSENTIAL.GEN.ORG.BIOCHEM.2E",2014-01-15,"CT","AS",121,269,0,86,144.026462278062
"48","NELSON.DAVID.L.","1429234148","9781429234146","PRIN.OF.BIOCHEM.6E",2012-11-21,"CT","AS",2421,1403,0,752,3032.67791220318
"49","LIGHTFOOT.CYNTHIA","1429243287","9781429243285","DEV.OF.CHILD.7E.C",2012-05-04,"CT","AS",232,845,0,177,729.56629934974
"50","BALL.LAURENCE","1429244097","9781429244091","MONEY.BANK.FIN.MRKTS.2E",2011-02-25,"CT","AS",584,12,0,19,323.61060683268
"51","RICKLEFS.ROBERT.E.","1429249951","9781429249959","ECONOMY.OF.NATURE.7E",2013-12-16,"PT","AS",747,145,0,24,1746.8253210512
"52","MOORE.DAVID","1429254890","9781429254892","SCC.8E",2012-11-09,"PT","NAB",0,0,0,1296,700.246500511952
"53","RAY.MARGARET","142925730X","9781429257305","HS.AP.KRUGMAN.MACROECONOMICS",2010-07-30,"CT","OS",0,684,0,627,225.87698573811
"54","COWEN.TYLER","1429278390","9781429278393","MOD.PRIN.ECON.3E",2014-12-12,"CT","AS",1071,219,0,5,0
"55","COWEN.TYLER","1429278404","9781429278409","MOD.PRIN.MACRO.3E",2014-12-12,"PT","AS",1147,286,0,7,174.010230973639
"56","COWEN.TYLER","1429278412","9781429278416","MOD.PRIN.MICRO.3E",2014-12-12,"PT","AS",155,49,0,54,0
"57","CHIANG.ERIC","1429278471","9781429278478","CORE.MICRO.3E",2013-10-25,"PT","AS",40,0,0,218,1214.47760026695
"58","CHIANG.ERIC","1429278498","9781429278492","CORE.MACRO.3E",2013-12-09,"PT","AS",166,0,0,415,1220.94512547398
"59","MOORE.DAVID.S.","1429279516","9781429279512","PSBE.3E.LL",2010-09-13,"LL","NAB",0,0,0,252,261.047277510918
"60","KOLB.BRYAN","1429282959","9781429282956","FUND.HUMAN.NEUROPSYCH.7E",2015-02-07,"CT","AS",113,877,0,20,1774.0255966385
"61","BERGER.KATHLEEN.STASSEN","1429283815","9781429283816","DEV.PERSON.THROUGH.LIFESPAN.9E.C",2014-05-12,"CT","AS",1173,1232,0,155,3348.89636258135
"62","ROGAWSKI.JON","1429288841","9781429288842","AP.TRCD.CALC.ET",2011-08-04,"CR","AS",270,54,0,0,68.5878735740819
"63","NELSON.DAVID.L.","1429293128","9781429293129","LL.PRINCIPLES.BIOCHEM.6E",2012-11-28,"LL","AS",236,0,46,1004,1874.47505117788
"64","NELSON.DAVID.L.","1429294760","9781429294768","SG.SM.PRIN.BIOCHEM.6E",2013-01-15,"PT","AS",105,738,0,32,1728.91336283555
"65","COMER.RONALD.J.","1429295635","9781429295635","FUNDAMENTALS.ABNORMAL.PSYCH.7E",2013-03-11,"PT","AS",828,78,0,318,7885.02192802895
"66","GRIGGS.RICHARD.A.","1429298901","9781429298902","CONCISE.INTRO.PSYCH.4E",2014-01-10,"PT","AS",1180,426,0,89,516.088037098379
"67","SHRIVER.DUWARD","1429299061","9781429299060","INORGANIC.CHEMISTRY.6E.P",2014-01-01,"PT","AS",1509,0,0,16,855.730665229776
"68","AROLA.KRISTIN.L.","1457600455","9781457600456","WRITER.DESIGNER",2014-01-09,"SP","AS",671,0,0,551,1040.3099617014
"69","JACOBUS.LEE.A.","1457604361","9781457604362","WORLD.OF.IDEAS.9E",2013-01-04,"PT","AS",3196,89,0,459,3380.36207545409
"70","LAWN.BEVERLY","1457604752","9781457604751","X40.SHORT.STORIES.4E",2012-07-09,"PT","AS",2366,0,0,110,2376.63665645206
"71","BROOKS.BRIAN.S.","1457604930","9781457604935","WORKING.WITH.WORDS.8E",2012-12-07,"PT","AS",346,0,0,211,1346.99465252063
"72","JACOBUS.LEE.A.","1457606321","9781457606328","BEDFORD.INTRO.DRAMA.7E",2012-09-14,"PT","AS",2699,77,0,0,737.55015663361
"73","JACOBUS.LEE.A.","145760633X","9781457606335","COMPACT.BEDFORD.INTRO.DRAMA.7E",2012-10-05,"PT","AS",2011,0,0,0,766.370632259846
"74","CHARTERS.ANN","145760647X","9781457606472","LITERATURE..ITS.WRITERS.6E",2012-08-03,"PT","AS",2420,0,0,17,1154.09875554905
"75","GARDNER.JANET.E.","1457606496","9781457606496","READING..WRITING.ABOUT.LIT.3E",2012-08-03,"PT","AS",925,15,0,228,3723.9330794617
"76","GARDNER.JANET.E.","145760650X","9781457606502","LITERATURE.PORTABLE.ANTH.3E",2012-08-03,"PT","AS",1660,0,0,30,6289.00086216008
"77","MEYER.MICHAEL","1457607301","9781457607301","POETRY.7E",2012-08-03,"PT","AS",1039,0,0,69,1294.45845307265
"78","BROOKS.BRIAN.S.","1457607409","9781457607400","WBK.WORKING.WITH.WORDS.8E",2012-12-07,"PT","AS",1040,0,0,35,950.288405191192
"79","MISSOURI.GROUP","1457609118","9781457609114","TELLING.THE.STORY.5E",2012-11-26,"PT","AS",989,0,0,103,644.635542494141
"80","AARON.JANE.E.","1457610248","9781457610240","X40.MODEL.ESSAYS.2E",2012-12-07,"PT","AS",748,0,0,433,2854.85914847875
"81","KARDOS.MICHAEL","1457613905","9781457613906","ART.AND.CRAFT.OF.FICTION",2012-12-28,"PT","AS",407,0,0,51,561.976377307864
"82","REILLY.KEVIN","1457617838","9781457617836","WORLDS.OF.HISTORY.5E.V2",2013-01-04,"PT","AS",1465,0,0,67,1481.80653109141
"83","BARNET.SYLVAN","1457622602","9781457622601","CURRENT.ISSUES.ENDUR.QUEST.10E",2013-08-23,"PT","AS",1692,51,0,30,4703.22309031826
"84","ROARK.JAMES.L.","1457631458","9781457631450","AMERICAN.PROMISE.CONCISE.5E.V1",2013-08-15,"PT","AS",647,0,0,827,2406.6764533211
"85","REYNOLDS.NEDRA","1457632853","9781457632853","PORTFOLIO.KEEPING.3E",2013-08-09,"PT","AS",1663,0,0,193,1346.29947380739
"86","ALRED.GERALD.J.","1457632993","9781457632990","BUSINESS.WRITERS.COMPANION.7E",2013-09-13,"SP","AS",579,0,0,18,1216.89931031733
"87","ESCHHOLZ.PAUL","1457636913","9781457636912","SUBJECT.AND.STRATEGY.13E",2014-01-24,"PT","AS",186,0,0,71,1080.54426990817
"88","SCHAKEL.PETER","1457636921","9781457636929","X250.POEMS.3E",2013-06-14,"PT","AS",584,0,0,38,1031.18558304019
"89","KENNEDY.X.J.","1457636964","9781457636967","BRIEF.BEDFORD.READER.12E",2014-01-10,"PT","AS",1141,69,0,191,494.452954628666
"90","AXELROD.RISE.B.","1457638940","9781457638947","READING.CRITICALLY.WRITING.WELL.10E",2013-12-13,"PT","AS",2937,0,0,484,1552.67364858117
"91","O.HAIR.DAN","1457641739","9781457641732","CP.SPEAK.GUIDEBOOK.5E.BROOKDALE.CC",2012-08-01,"CU","OS",79,0,0,0,0
